,0,1,2,3,4,5,6,7
2023-01-04,DETG23 Comdty,DETH23 Comdty,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty
2023-01-11,DETG23 Comdty,DETH23 Comdty,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty
2023-01-18,DETG23 Comdty,DETH23 Comdty,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty
2023-01-25,DETG23 Comdty,DETH23 Comdty,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty
2023-02-01,DETH23 Comdty,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty
2023-02-08,DETH23 Comdty,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty
2023-02-15,DETH23 Comdty,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty
2023-02-22,DETH23 Comdty,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty
2023-03-01,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty
2023-03-08,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty
2023-03-15,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty
2023-03-22,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty
2023-03-29,DETJ23 Comdty,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty
2023-04-05,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty
2023-04-12,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty
2023-04-19,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty
2023-04-26,DETK23 Comdty,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty
2023-05-03,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty
2023-05-10,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty
2023-05-17,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty
2023-05-24,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty
2023-05-31,DETM23 Comdty,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty
2023-06-07,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty
2023-06-14,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty
2023-06-21,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty
2023-06-28,DETN23 Comdty,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty
2023-07-05,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty
2023-07-12,DETQ23 Comdty,DETU23 Comdty,DETV23 Comdty,DETX23 Comdty,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty
